run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,20.55542216212877823432839376,0.8785743347556873671450667072,0.8785743347556873671450667072
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,110.6292307746824225944202216,0.8519034644909037432307465252,0.8519034644909037432307465252
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,22.31547077789486742400918979,0.9538018601033943341870617234,0.9538018601033943341870617234
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,139.6917112901713811809251083,1.075699902959048760833368740,1.075699902959048760833368740
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,25.49659863271701352844604082,1.089768772715502439446292066,1.089768772715502439446292066
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,140.8775507123598189189787389,1.084831492368268546376006687,1.084831492368268546376006687
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,24.06715084021747109945067258,1.028671698986844501588112331,1.028671698986844501588112331
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,122.0651783945873769785495316,0.9399662967904036784495044150,0.9399662967904036784495044150
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,22.27771914135424261108875977,0.9521882897909963809641125710,0.9521882897909963809641125710
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,120.3051129044794335558085970,0.9264128635950878382239568131,0.9264128635950878382239568131
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,23.96930769118606225763393639,1.024489713382625265254265053,1.024489713382625265254265053
adversarial,fpmm_compare_adv_0041,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,128.8298842769403181550201198,0.9920581023383936660783733386,0.9920581023383936660783733386
adversarial,fpmm_compare_adv_0041,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,23.51301325900130143461817153,1.004986899280950149039418910,1.004986899280950149039418910
adversarial,fpmm_compare_adv_0041,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,130.0567929668020372312500798,1.001505946784098614101573767,1.001505946784098614101573767
adversarial,fpmm_compare_adv_0041,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,22.21762762886345858219245362,0.9496198744991750978532144465,0.9496198744991750978532144465
adversarial,fpmm_compare_adv_0044,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,114.3994274586003027757114477,0.8809359687788825000840311599,0.8809359687788825000840311599
adversarial,fpmm_compare_adv_0044,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,20.62669215815148396058167433,0.8698787281777691522531676503,0.8698787281777691522531676503
adversarial,fpmm_compare_adv_0044,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,112.1937849386378380996219676,0.8639513572885305289038480803,0.8639513572885305289038480803
adversarial,fpmm_compare_adv_0044,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,22.62096402726382184396438211,0.9539821153734992041452263061,0.9539821153734992041452263061
adversarial,fpmm_compare_adv_0045,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,137.2723556353958828862086853,1.057069587537832071514239897,1.057069587537832071514239897
adversarial,fpmm_compare_adv_0045,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,24.75376398135590385008443676,1.043927575231930055684201921,1.043927575231930055684201921
adversarial,fpmm_compare_adv_0045,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,137.4393999507372962909629086,1.058355916928051675624138770,1.058355916928051675624138770
adversarial,fpmm_compare_adv_0045,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,24.37534901516436365262344115,1.027968878268294835252739530,1.027968878268294835252739530
adversarial,fpmm_compare_adv_0046,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,124.0236801323271816931044124,0.9550477938225047275485049854,0.9550477938225047275485049854
adversarial,fpmm_compare_adv_0046,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,22.36313889533259106044466707,0.9431089905827182223171683867,0.9431089905827182223171683867
adversarial,fpmm_compare_adv_0046,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,122.0050502032470702571005739,0.9395032779828273559760722479,0.9395032779828273559760722479
adversarial,fpmm_compare_adv_0046,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,24.30097410691382451979658101,1.024832304061375791462803350,1.024832304061375791462803350
adversarial,fpmm_compare_adv_0047,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,126.5651165964155794831596610,0.9746181959068324577074170671,0.9746181959068324577074170671
